id,artist,title,bpm,category,yearReleased
48,Rihanna (f/Calvin Harris),We Found Love,128,G,2011
49,LMFAO,Party Rock Anthem,130,G,2011
50,Maroon 5,Pay Phone,128,G,2012
51,Calvin Harris (f/Ne-Yo),Let's Go,128,G,2012
52,David Guetta (f/Usher),Without You,128,G,2011
53,Pitbull (f/Ne-Yo & Nayer),Give Me Everything,129,G,2011
54,LMFAO,Sexy & I Know It,130,G,2012
55,Katy Perry,Part Of Me,130,G,2012
56,Usher,Scream,128,G,2012
57,Jessie J.,Domino,127,G,2011
58,Selena Gomez & The Scene,Love You Like A Love Song,126,G,2011
59,Kelly Clarkson,Stronger (What Doesn't Kill You),127,G,2011
60,David Guetta (f/Nicki Minaj),Turn Me On,128,G,2012
61,Drake (f/Rihanna),Take Care,128,G,2012
62,Katy Perry,The One That Got Away,128,G,2011
63,Train,Drive By,125,G,2012
64,Maroon 5 & Christina Aguilera,Moves Like Jagger,128,G,2012
65,Cobra Starship,You Make Me Feel,132,G,2011
66,Katy Perry,E.T.,129,G,2011
67,Enrique Iglesias (f/Ludacris),Tonight,128,G,2011
68,Nicki Minaj,Super Bass,127,G,2011
69,Katy Perry,Firework,128,G,2011
70,Rihanna,Only Girl (In The World),126,G,2010
71,Hot Chelle Rae,Tonight Tonight,125,G,2011
72,Karmin,Broken Hearted,128,G,2011
73,Katy Perry,Last Friday Night (TGIF),126,G,2011
74,Adele,Rolling In The Deep,128,G,2011
75,Adele,Rolling In The Deep,125,G,2011
76,Pitbull (f/Chris Brown),International Love,127,G,2011
77,Cee-Lo Green,Forget You,127,G,2011
78,Adele,Rumor Has It,127,G,2012
79,Usher (f/Pitbull),DJ Got Us Falling In Love,128,G,2011
80,Cher Lloyd,Want U Back,126,G,2012
81,Adele,Set Fire To The Rain,127,G,2012
82,Black Eyed Peas,Just Can't Get Enough,128,G,2011
83,Chris Brown,Yeah 3x,130,G,2011
84,Kesha,We R Who We R,128,G,2011
85,Jay Z & Kanye West,N***** In Paris,130,G,2012
86,Dev,In The Dark,125,G,2011
87,Dev,In The Dark,128,G,2011
88,Havana Brown,We Run The Night,128,G,2012
89,Bruno Mars,Just The Way You Are,129,G,2011
90,Psy,Gangnam Style,132,G,2012
91,Pink,Raise Your Glass,128,G,2011
92,Jennifer Lopez (f/Pitbull),On The Floor,130,G,2011
93,Rihanna,S&M,128,G,2011
94,Afrojack,Take Over Control,130,G,2011
95,Avicii,Levels,128,G,2011
96,Britney Spears,I Wanna Go,130,G,2011
97,Pitbull,Hey Baby (Drop It To The Floor),127,G,2011
98,Nicki Minaj,Pound The Alarm,125,G,2012
99,Chris Brown,Turn Up The Music,130,G,2012
100,David Guetta (f/Chris Brown),I Can Only Imagine,128,G,2012
101,Jeremih (f/50 Cent),Down On Me,128,G,2011
102,Alexandra Stan,Mr Saxobeat,127,G,2011
103,Martin Solveig & Dragonette,Hello,128,G,2011
104,Far East Movement,Rocketeer,128,G,2011
105,Britney Spears,Hold It Against Me,130,G,2011
106,Lil Wayne,How To Love,135,G,2011
107,Zedd,Spectrum,128,G,2012
108,Afrojack,Can't Stop Me,129,G,2012
109,Foster The People,Pumped Up Kicks,128,G,2011
110,Taio Cruz,Dynamite,128,G,2010
111,Katy Perry,Teenage Dream,128,G,2010
112,Usher (f/Lil Jon & Ludacris),Yeah,128,G,2003
113,Kesha,Tik Tok,128,G,2009
114,Usher (f/Will.I.Am),OMG,130,G,2010
115,Jay Sean,Down,132,G,2009
116,Justin Timberlake,Sexyback,128,G,2006
117,David Guetta (f/Akon),Sexy Chick,130,G,2009
118,Far East Movement,Like A G6,125,G,2009
119,Edward Maya,Stereo Love,128,G,2009
120,Jason Derulo,What'cha Say,138,G,2009
121,Kings Of Leon,Use Somebody,129,G,2008
122,Taio Cruz (f/Ludacris),Break Your Heart,127,G,2009
123,Lady Gaga,Just Dance,125,G,2008
125,Enrique Iglesias (f/Pitbull),I Like It,129,G,2010
127,Lady Gaga,Bad Romance,128,G,2009
128,Black Eyed Peas,I Gotta Feeling,128,G,2009
129,Chris Brown,Forever,128,G,2008
130,B.O.B. (f/Bruno Mars),Nothin' On You,129,G,2009
131,Lady Gaga,Poker Face,128,G,2008
132,Justin Timberlake (f/T.I.),My Love,128,G,2006
133,Jason Derulo,In My Head,128,G,2009
134,Flo Rida,Club Can't Handle Me,128,G,2010
135,Kelly Clarkson,Since U Been Gone,132,G,2004
136,Beyonce,Single Ladies (Put A Ring On It),127,G,2008
137,Train,Hey Soul Sister,125,G,2009
138,Iyaz,Replay,140,G,2009
139,Pitbull,Calle Ocho (I Know You Want Me),127,G,2009
141,Flo Rida (f/T-Pain),Low,128,G,2007
142,Kesha,Your Love Is My Drug,128,G,2009
143,Taylor Swift,You Belong With Me,128,G,2008
144,Rihanna,Umbrella,125,G,2007
145,One Republic,Apologize,130,G,2007
146,Ne-Yo,Closer,127,G,2008
147,Black Eyed Peas,Boom Boom Pow,129,G,2009
148,La Roux,Bulletproof,128,G,2009
149,Estelle,American Boy,128,G,2008
150,Rihanna,Rude Boy,128,G,2009
151,Justin Timberlake,Rock Your Body,128,G,2002
152,Rihanna,Don't Stop The Music,128,G,2007
154,Cazzette,Beam Me Up (Kill Mode),126,G,2012
155,Zedd,Clarity,128,G,2013
156,Martin Solveig,The Night Out,128,G,2012
157,Maroon 5,Daylight,127,G,2013
158,Maroon 5,Love Somebody,120,G,2013
159,Olly Murs (f/Flo Rida),Troublemaker,126,G,2013
160,Jonn Hart,Who Booty?,128,G,2013
161,Pitbull (f/Christina Aguilera),Feel This Moment,136,G,2013
162,Britt Nicole,Gold,123,G,2013
164,Benny Benassi (f/Gary Go),Cinema,130,G,2012
165,Icona Pop,I Love It,126,G,2013
167,Calvin Harris (f/Kelis),Bounce,128,G,2011
169,Otto Knows,A Million Voices,126,G,2013
170,Emeli Sande,Next To Me,128,G,2013
171,Ne-Yo,Forever Now,127,G,2013
172,Rihanna (f/Mikky Ekko),Stay,128,G,2013
174,Justin Bieber,All Around The World,128,G,2013
175,Neon Trees,Animal,132,G,
176,Avicii vs Nicky Romero,I Could Be The One,128,G,2013
177,Britney Spears,Three,128,G,2009
179,Mumford & Sons,I Will Wait,125,G,2013
180,Pink,Get This Party Started,128,G,2001
181,Taylor Swift,I Knew You Were Trouble,130,G,2013
183,Mumford & Sons,I Will Wait,133,G,2013
184,Justin Timberlake (f/Jay Z),Suit & Tie,126,G,2013
185,Justin Timberlake (f/Jay Z),Suit & Tie,124,G,2013
186,Of Monsters & Men,Little Talks,128,G,2013
187,Pitbull (f/Christina Aguilera),Feel This Moment,128,G,2013
188,Justin Timberlake,My Love,130,G,2006
190,Timbaland (f/Keri Hilson),The Way I Are,128,G,2006
192,Britney Spears,Toxic,128,G,2003
195,Justin Timberlake,What Goes Around (Comes Around),132,G,2006
196,Beyonce,Single Ladies,128,G,2008
199,One Republic,Apologize,128,G,2008
201,Katy Perry,Hot & Cold,130,G,2008
204,Rihanna,Don't Stop The Music,123,G,2007
205,The Killers,Somebody Told Me,128,G,2004
206,The Killers,Somebody Told Me,134,G,2004
207,Enur,Calabria,126,G,2008
208,The Killers,Mr Brightside,134,G,2003
209,Katy Perry,Waking Up In Vegas,130,G,2009
210,Black Eyed Peas,Meet Me Halfway,128,G,2009
211,Kevin Rudolf,Let It Rock,125,G,2008
212,Kid Cudi,Day N Nite,130,G,2008
213,David Guetta (f/Kid Cudi),Memories,130,G,2009
214,Darude,Sandstorm,137,G,2000
215,Alice Deejay,Better Off Alone,136,G,2000
216,Sonique,It Feels So Good,135,G,2000
217,Dirty Vegas,Days Go By,127,G,2003
218,Daniel Bedingfield,Gotta Get Through This,135,G,2004
219,Kylie Minogue,Can't Get You Out Of My Head,126,G,2002
220,Rihanna,Pour It Up,135,G,2013
221,Calvin Harris (f/Ellie Goulding),I Need Your Love,125,G,2013
222,Will.I.Am (f/Justin Bieber),That Power,128,G,2013
223,Carly Rae Jepsen,Tonight I'm Getting Over You,128,G,2013
224,Little Mix,Wings,126,G,2013
225,Cher Lloyd,With Ur Love,128,G,2013
226,Nikki Williams,Glowing,128,G,2013
227,Demi Lovato,Heart Attack,126,G,2013
228,Jason Derulo,The Other Side,128,G,2013
229,Daft Punk,Get Lucky,125,G,2013
230,Macklemore & Ryan Lewis,Can't Hold Us,128,G,2013
231,Bruno Mars,When I Was Your Man,128,G,2013
232,Kesha (f/Will.I.Am),Crazy Kids,128,G,2013
233,J Cole (f/Miguel),Power Trip,126,G,2013
234,Drop City Yacht Club,Crickets,125,G,2013
235,Taylor Swift,22,118,G,2013
236,Capital Cities,Safe & Sound,128,G,2013
237,Capital Cities,Safe & Sound,125,G,2013
238,Jennifer Lopez (f/Pitbull),Live It Up,128,G,2013
239,Imagine Dragons,Radioactive,128,G,2013
240,Selena Gomez,Come & Get It,128,G,2013
241,Duck Sauce,Barbara Streisand,128,G,2011
242,Yolanda Be Cool,We No Speak Americano,125,G,2010
243,Rihanna (f/David Guetta),Right Now,130,G,2013
244,Drake (f/Rihanna),Take Care,122,G,2012
246,Daft Punk (f/Pharrell Williams),Get Lucky,116,G,2013
247,Bruno Mars,Treasure,116,G,2013
248,Rihanna,Diamonds,120,G,2012
249,Demi Lovato,Heart Attack,119,G,2013
250,Selena Gomez,Come & Get It,131,G,2013
251,Pitbull (f/Chris Brown),International Love,120,G,2011
253,Bruno Mars,Treasure,128,G,2013
254,Ariana Grande (f/Mac Miller),The Way,128,G,2013
255,Justin Timberlake,Mirrors,128,G,2013
256,Armin Van Buuren (f/Trevor Guthrie),This Is What It Feels Like,130,G,2013
257,Sean Kingston (f/Chris Brown & Wiz Khalifa),Beat It,125,G,2013
258,"David Guetta (f/Chris Willis, Fergie & LMFAO)",Getting Over You,130,G,2009
259,Britney Spears,Ooh La La,128,G,2013
260,Paramore,Still Into You,130,G,2013
261,Tegan & Sara,Closer,128,G,2013
262,Avicii,Wake Me Up,124,G,2013
263,Duck Sauce,It's You,128,G,2013
264,Timeflies,I Choose U,128,G,2013
265,Mariah Carey (f/Miguel),Beautiful,124,G,2013
266,Cascada,Evacuate The Dancefloor,127,G,2009
269,Jason Derulo,In My Head,127,G,2009
271,Justin Timberlake,Rock Your Body,127,G,2002
272,Keri Hilson,Knock You Down,128,G,2009
274,Miley Cyrus,Party In The USA,128,G,2009
275,3OH3,Don't Trust Me,130,G,2008
277,Lana Del Rey,Summertime Sadness,126,G,2013
278,Major Lazer,Bubble Butt,128,G,2013
279,Krewella,Live For The Night,128,G,2013
280,Kaptn,Ricky Ricardo,122,G,2013
281,Maroon 5,Love Somebody,128,G,2013
282,Enrique Iglesias,Turn The Night Up,128,G,2013
283,Martin Solveig & The Cataracs,Hey Now,128,G,2013
284,Sebastian Ingrosso & Tommy Trash,Reload,128,G,2013
285,One Direction,Best Song Ever,128,G,2013
286,Icona Pop,All Night,124,G,2013
287,Icona Pop,All Night,128,G,2013
288,Robin Thicke (f/Kendrick Lamar),Give It 2 U,127,G,2013
289,Flo Rida (f/Pitbull),Can't Believe It,124,G,2013
290,Selena Gomez,Slow Down,128,G,2013
291,Katy Perry,Roar,128,G,2013
292,Katy Perry,Roar,125,G,2013
293,Lady Gaga,Applause,128,G,2013
294,Lorde,Royals,128,G,2013
295,Lady Gaga,Applause,140,G,2013
296,Katy Perry,Roar,126,G,2013
297,Rihanna,What Now?,128,G,2013
298,Zedd (f/Hayley Williams),Stay The Night,128,G,2013
299,Britney Spears,Work B****,128,G,2013
300,Miley Cyrus,Wrecking Ball,128,G,2013
302,Drake,Hold On We're Going Home,120,G,2013
303,Capital Cities,Safe & Sound,122,G,2013
304,The Wanted,We Own The Night,128,G,2013
305,Fifth Harmony,Miss Movin' On,132,G,2013
306,Pitbull (f/Akon),Shut It Down,128,G,2010
307,The Neighborhood,Sweater Weather,128,G,2013
308,Calvin Harris,Thinking About You,128,G,2013
309,J Cole (f/TLC),Crooked Smile,128,G,2013
310,Pitbull (f/Kesha),Timber,130,G,2013
311,Martin Garrix,Animals,128,G,2013
312,One Republic,Counting Stars,128,G,2013
313,Zendaya,Replay,128,G,2013
314,John Newman,Love Me Again,128,G,2013
315,Katy Perry,Unconditionally,130,G,2013
316,Bruno Mars,Gorilla,128,G,2013
317,Justin Timberlake,TKO,130,G,2013
318,Eminem (f/Rihanna),The Monster,122,G,2013
319,Jay Z (f/Justin Timberlake),Holy Grail,128,G,2013
320,Imagine Dragons,Demons,126,G,2013
321,Enrique Iglesias,Heart Attack,130,G,2013
322,Robin Thicke,Feel Good,125,G,2013
323,Cash Cash,Take Me Home,128,G,2013
324,Avicii,Hey Brother,125,G,2013
325,Bastille,Pompeii,128,G,2013
326,Demi Lovato,Neon Lights,128,G,2013
328,Passenger,Let Her Go,128,G,2013
329,Lorde,Team,120,G,2013
330,Flo Rida,How I Feel,128,G,2014
331,Katy Perry,Dark Horse,130,G,2014
332,Mark Morrison,Return Of The Mack,126,G,1997
333,Stardust,The Music Sounds Better With You,124,G,1998
334,Pussycat Dolls,Don'tcha,120,G,2004
335,Pussycat Dolls,Don'tcha,132,G,2004
336,Nelly Furtado (f/Timbaland),Promiscuous,128,G,2006
337,Justin Timberlake,Sexyback,127,G,2006
338,Nina Sky,Move Ya Body,121,G,2004
339,Shakira (f/Beyonce),Can't Remember To Forget You,138,G,2014
340,Enrique Iglesias (f/Pitbull),Freak,128,G,2014
341,NoNoNo,Pumpin' Blood,128,G,2014
342,Jason Derulo (f/2 Chainz),Talk Dirty,128,G,2014
343,Naughty Boy (f/Sam Smith),La La La,128,G,2014
344,Disclosure (f/Sam Smith),Latch,122,G,2014
345,John Legend,All Of Me,126,G,2014
346,Kid Ink (f/Chris Brown),Show Me,120,G,2014
347,Zedd (f/Matthew Koma),Find You,128,G,2014
348,Miley Cyrus,Adore You,138,G,2014
349,Icona Pop,Just Another Night,128,G,2014
350,Pharrell Williams,Happy,128,G,2014
351,A Great Big World,Say Something,125,G,2014
352,The Chainsmokers,#Selfie,128,G,2014
353,Mariah Carey,You're Mine (Eternal),128,G,2014
354,Miley Cyrus,Adore You,128,G,2014
355,Lorde,Team,125,G,2014
356,Shakira (f/Rihanna),Can't Remember To Forget You,130,G,2014
357,Paramore,Ain't It Fun,125,G,2014
358,Beyonce (f/Jay Z),Drunk In Love,128,G,2014
359,Pitbull,Wild Wild Love,120,G,2014
360,Neon Trees,Sleeping With A Friend,127,G,2014
361,Calvin Harris,Summer,128,G,2014
362,Rihanna,S&M,128,G,2010
363,B.O.B. (f/Priscilla),John Doe,124,G,2014
365,American Authors,Best Day Of My Life,125,G,2014
366,Katy Perry,Birthday,126,G,2014
367,Ed Sheeran,Sing,120,G,2014
368,My Crazy Girlfriend,Crazy Stupid Love,128,G,2014
369,One Direction,You And I,128,G,2014
370,Ellie Goulding,Beating Heart,128,G,2014
371,Michael Jackson & Justin Timberlake,Love Never Felt So Good,118,G,2014
372,Nico & Vinz,Am I Wrong?,120,G,2014
373,Ed Sheeran,Sing,125,G,2014
375,Disclosure (f/Sam Smith),Latch,125,G,2014
376,One Direction,Story Of My Life,126,G,2014
377,Rita Ora,I Will Never Let You Down,128,G,2014
378,Tiesto (f/Matthew Koma),Wasted,112,G,2014
379,Pharrell Williams (f/Miley Cyrus),Come Get It Bae,120,G,2014
380,Trey Songz,Na Na,128,G,2014
381,Ariana Grande (f/Iggy Azalea),Problem,128,G,2014
382,Avicii,Addicted To You,128,G,2014
384,Enrique Iglesias,Bailando,127,G,2014
385,Magic,Rude,128,G,2014
386,Rixton,Me & My Broken Heart,120,G,2014
387,Becky G,Shower,120,G,2014
388,Neon Trees,Sleeping With A Friend,107,G,2014
389,Justin Timberlake,Suit & Tie,110,G,2013
390,Taylor Swift,We Are Never Ever Getting Back…,104,G,2013
391,Paramore,Ain't It Fun,104,G,2014
392,Drake,Hold On We're Going Home,100,G,2014
394,Nico & Vinz,Am I Wrong?,128,G,2014
395,Ariana Grande (f/Iggy Azalea),Problem,120,G,2014
396,Sam Smith,Stay With Me,110,G,2014
397,Katy Tiz,The Big Bang,127,G,2014
398,Coldplay,A Sky Full Of Stars,125,G,2014
399,Demi Lovato (f/Cher Lloyd),Really Don’t Care,128,G,2014
400,Jason Derulo (f/Snoop Dogg),Wiggle,100,G,2014
401,Coldplay,A Sky Full Of Stars,128,G,2014
402,Tiesto (f/Matthew Koma),Wasted,128,G,2014
404,Sam Smith,Stay With Me,120,G,2014
405,Justin Timberlake,Rock Your Body,107,G,2004
406,Kelly Clarkson,Mr Know It All,118,G,2011
407,Ariana Grande (f/Zedd),Break Free,130,G,2014
408,Sia,Chandelier,120,G,2014
409,Jason Derulo,Wiggle,128,G,2014
410,Kongos,Come With Me Now,120,G,2014
411,Clean Bandit,Rather Be,125,G,2014
412,Clean Bandit,Rather Be,128,G,2014
413,Kiesza,Hideaway,123,G,2014
414,OneRepublic,Love Runs Out,128,G,2014
415,Ed Sheeran,Don't,128,G,2014
416,Meghan Trainor,All About That Bass,134,G,2014
417,Steve Aoki (f/Kid Ink),Delirious (Boneless),128,G,2014
418,Charli XCX,Boom Clap,126,G,2014
419,Sia,Chandelier,128,G,2014
420,Enrique Iglesias (f/Sean Paul),Bailando,111,G,2014
421,Tinashe,2 On,122,G,2014
422,Usher (f/Nicki Minaj),She Came To Give It To You,120,G,2014
423,Kiesza,Hideaway,126,G,2014
424,Florida-Georgia Line (f/Jason Derulo),This Is How We Roll,130,G,2014
425,Iggy Azalea (f/Rita Ora),Black Widow,128,G,2014
426,Tove Lo,Habits (Stay High),116,G,2014
427,Tove Lo,Habits (Stay High),128,G,2014
430,Pitbull (f/John Ryan),Fireball,123,G,2014
431,Maroon 5,Maps,124,G,2014
432,Maroon 5,Maps,126,G,2014
433,Becky G,Shower,128,G,2014
434,Jeremih (f/YG),Don't Tell Em,122,G,2014
435,Jeremih (f/YG),Don't Tell Em,98,G,2014
436,Tove Lo,Habits (Stay High),110,G,2014
437,Sam Smith,Stay With Me,125,G,2014
438,Charli XCX,Boom Clap,116,G,2014
439,Charli XCX,Boom Clap,128,G,2014
440,Nicki Minaj,Anaconda,130,G,2014
441,Sam Smith,Stay With Me,118,G,2014
442,OneRepublic,Love Runs Out,120,G,2014
443,Nico & Vinz,Am I Wrong?,126,G,2014
444,Magic,Rude,130,G,2014
445,Mr Probz,Waves,120,G,2014
446,Clean Bandit (f/Jess Glynne),Rather Be,121,G,2014
447,Calvin Harris (f/John Newman),Blame,128,G,2014
448,Taylor Swift,Shake It Off,160,G,2014
449,Neon Trees,Animal,148,G,
451,Kim Cesarion,Undressed,120,G,2014
452,Bebe Rexha,I Can't Stop Drinking About You,130,G,2014
453,Fun,Some Nights,108,G,2012
454,Lorde,Team,112,G,2014
455,Nelly Furtado (f/Timbaland),Promiscuous,114,G,2006
456,Justin Timberlake,Sexyback,117,G,2006
457,Katy Perry,This Is How We Do,124,G,2014
458,Alesso (f/Tove Lo),Heroes,126,G,2014
459,MKTO,American Dream,123,G,2014
460,The 1975,Girls,123,G,2014
461,Jason Derulo,Trumpets,128,G,2014
462,Taylor Swift,Shake It Off,124,G,2014
463,Taylor Swift,Shake It Off,130,G,2014
464,Nico & Vinz,In Your Arms,112,G,2014
465,Mary Lambert,Secrets,128,G,2014
466,Sam Smith,I'm Not The Only One,122,G,2014
467,Charli XCX,Break The Rules,124,G,2014
468,Meghan Trainor,All About That Bass,128,G,2014
469,Rixton,Wait On Me,126,G,2014
470,David Guetta,Dangerous,128,G,2014
471,Ariana Grande (f/The Weeknd),Love Me Harder,99,G,2014
472,Sam Smith,I'm Not The Only One,99,G,2014
473,Ariana Grande (f/The Weeknd),Love Me Harder,128,G,2014
474,Maroon 5,Maps,128,G,2014
475,Nico & Vinz,In Your Arms,126,G,2014
476,Nick Jonas,Jealous,117,G,2014
477,Nick Jonas,Jealous,122,G,2014
478,Nick Jonas,Jealous,125,G,2014
479,Kendrick Lamar,I,122,G,2014
480,Gwen Stefani,Baby Don't Lie,105,G,2014
483,Meghan Trainor,Lips Are Movin',139,G,2014
484,Mr Probz,Waves,128,G,2014
485,Jessie J (f/2 Chainz),Burnin' Up,124,G,2014
486,David Guetta (f/Sam Martin),Dangerous,116,G,2014
487,Mark Ronson (f/Bruno Mars),Uptown Funk,115,G,2014
488,Ariana Grande & The Weeknd,Love Me Harder,123,G,2014
489,Gwen Stefani,Baby Don't Lie,125,G,2014
490,Maroon 5,Animals,101,G,2014
491,Chris Brown,New Flame,130,G,2014
492,Eden XO,Too Cool To Dance,125,G,2014
493,Milky Chance,Stolen Dance,124,G,2014
494,OneRepublic,I Lived,128,G,2014
495,Selena Gomez,The Heart Wants What It Wants,120,G,2014
496,Nick Jonas,Jealous,100,G,2014
497,Maroon 5,Animals,112,G,2014
498,Iggy Azalea (f/Mo),Beg For It,120,G,2014
499,Ella Henderson,Ghost,121,G,2014
500,Meghan Trainor,Lips Are Movin',124,G,2014
501,Lillywood & Robin Schulz,Prayer In C,123,G,2014
502,Pitbull (f/Ne-Yo),Time Of Our Lives,124,G,2014
503,James Newton Howard,The Hanging Tree,121,G,2015
504,James Newton Howard,The Hanging Tree,113,G,2015
505,Calvin Harris (f/Ellie Goulding),Outside,128,G,2015
506,Mark Ronson (f/Bruno Mars),Uptown Funk,124,G,2015
507,Taylor Swift,Blank Space,125,G,2015
508,Sean Kingston,Fire Burnin',123,G,2009
509,Selena Gomez,The Heart Wants What It Wants,126,G,2015
510,Selena Gomez,The Heart Wants What It Wants,130,G,2015
511,Sam Smith,I'm Not The Only One,124,G,2014
512,Fifth Harmony,Sledgehammer,123,G,2015
513,Taylor Swift,Style,95,G,2015
514,Maroon 5,Sugar,120,G,2015
515,Prince Royce (f/Snoop Dogg),Stuck On A Feeling,116,G,2015
516,Mark Ronson (f/Bruno Mars),Uptown Funk,128,G,2015
517,Usher (f/Juicy J),I Don't Mind,113,G,2015
518,One Direction,Night Changes,120,G,2015
519,Ella Henderson,Ghost,126,G,2015
520,Fifth Harmony,Sledgehammer,100,G,2015
521,Tove Lo,Talking Body,120,G,2015
523,Ne-Yo (f/Juicy J.),She Knows,132,G,2015
524,Natalie La Rose (f/Jeremih),Somebody,105,G,2015
525,Nicki Minaj (f/Drake & Lil Wayne),Truffle Butter,105,G,2015
526,Tove Lo,Habits (Stay High),123,G,2014
527,Cash Cash,Surrender,128,G,2015
528,Olly Murs (f/Travie McCoy),Wrapped Up,122,G,2015
529,Olly Murs (f/Travie McCoy),Wrapped Up,128,G,2015
530,Ariana Grande,One Last Time,125,G,2015
531,Ed Sheeran,Thinking Out Loud,117,G,2015
532,Ed Sheeran,Thinking Out Loud,128,G,2015
533,Rihanna (f/Kanye West & Paul McCartney),FourFiveSeconds,104,G,2015
534,One Direction,Night Changes,128,G,2015
535,Tove Lo,Talking Body,124,G,2015
536,Tove Lo,Talking Body,123,G,2015
537,Maroon 5,Sugar,128,G,2015
538,Ellie Goulding,Love Me Like You Do,130,G,2015
539,Madonna,Living For Love,124,G,2015
540,Who Is Fancy,Goodbye,115,G,2015
541,Madonna,Living For Love,128,G,2015
543,Iggy Azalea (f/Jennifer Hudson),Trouble,106,G,2015
544,Ellie Goulding,Love Me Like You Do,120,G,2015
545,Nicki Minaj (f/Drake & Lil Wayne),Truffle Butter,115,G,2015
546,Kelly Clarkson,Heartbeat Song,128,G,2015
547,Chris Brown (f/Tyga),Ayo,119,G,2015
548,Sam Smith,Lay Me Down,128,G,2015
549,Lunchmoney Lewis,Bills,126,G,2015
550,Walk The Moon,Shut Up & Dance,128,G,2015
551,Zedd (f/Selena Gomez),I Want You To Know,130,G,2015
552,Rihanna (f/Kanye West),FourFiveSeconds,128,G,2015
553,Ellie Goulding,Love Me Like You Do,125,G,2015
554,Jason Derulo,Want To Want Me,114,G,2015
555,Nick Jonas,Chains,128,G,2015
556,Rihanna (f/Kanye West),FourFiveSeconds,115,G,2015
558,T.I.,Whatever You Like,135,G,2008
559,Usher (f/Ludacris & Lil Jon),Yeah,123,G,2003
560,Mike Posner,Cooler Than Me,130,G,2010
561,Fall Out Boy,Thanks For The Memories,135,G,2007
562,Sir Mix-A-Lot,Baby Got Back,129,G,1992
563,Pink,Raise Your Glass,128,G,2010
564,Flo Rida,Right Round,128,G,2009
565,T.I. (f/Justin Timberlake),Dead & Gone,135,G,2008
566,DJ Snake & AlunaGeorge,You Know You Like It (Remix),123,G,2015
567,DJ Snake & AlunaGeorge,You Know You Like It,98,G,2015
568,Deorro (feat Chris Brown),Five More Hours,128,G,2015
569,Sia (feat The Weeknd),Elastic Heart,126,G,2015
570,Alesso (feat Roy English),Cool,128,G,2015
571,Carly Rae Jepsen,I Really Like You,122,G,2015
572,Calvin Harris (f/Ellie Goulding),Outside,126,G,2015
573,David Guetta (f/Nicki Minaj),Hey Mama,128,G,2015
575,Tori Kelly,Nobody Love,100,G,2015
577,Iggy Azalea (f/Jennifer Hudson),Trouble,128,G,2015
578,Tori Kelly,Nobody Love,126,G,2015
579,The Weeknd,Earned It,122,G,2015
580,Martin Garrix (f/Usher),Don't Look Down,128,G,2015
581,Andy Grammer,Honey I'm Good,128,G,2015
582,Fifth Harmony (f/Kid Ink),Worth It,100,G,2015
585,Skrillex & Diplo (f/Justin Bieber),Where Are You Now,128,G,2015
586,Calvin Harris (f/Haim),Pray To God,128,G,2015
587,Calvin Harris (f/Haim),Pray To God,120,G,2015
588,Nate Ruess,Nothing Without Love,130,G,2015
589,Nate Ruess,Nothing Without Love,128,G,2015
590,Nicki Minaj,The Night Is Still Young,128,G,2015
591,Pitbull (f/Chris Brown),Fun,114,G,2015
592,Omi,Cheerleader,118,G,2015
593,Wiz Khalifa (f/Charlie Puth),See You Again,120,G,2015
594,Wiz Khalifa (f/Charlie Puth),See You Again,95,G,2015
595,Britney Spears (f/Iggy Azalea),Pretty Girls,103,G,2015
596,Calvin Harris (f/Haim),Pray To God,123,G,2015
597,Adam Lambert,Ghost Town,120,G,2015
598,Dillon Francis & DJ Snake,Get Low,128,G,2015
599,Justin Timberlake,My Love,126,G,2006
600,The Weeknd,Earned It,125,G,2015
601,Maroon 5,This Summer's Gonna Hurt,99,G,2015
602,B.O.B. (f/Bruno Mars),Nothin' On You,114,G,2009
603,Wiz Khalifa (f/Charlie Puth),See You Again,115,G,2015
604,Ne-Yo,Coming With You,128,G,2015
605,Natalie La Rose (f/Jeremih),Somebody,118,G,2015
606,Major Lazer & DJ Snake,Lean On,120,G,2015
607,Major Lazer & DJ Snake,Lean On,98,G,2015
608,Carly Rae Jepsen,I Really Like You,128,G,2015
610,Rixton,Me & My Broken Heart,100,G,2014
611,Jeremih (f/Flo Rida),Tonight Belongs To U,129,G,2015
612,Rihanna,Diamonds,100,G,2012
613,Jason Derulo,Want To Want Me,123,G,2015
614,Taylor Swift (f/Kendrick Lamar),Bad Blood,95,G,2015
615,The Weeknd,Can't Feel My Face,108,G,2015
616,Years & Years,King,120,G,2015
617,Sam Smith,Like I Can,120,G,2015
618,Sam Smith,Like I Can,128,G,2015
619,Flo Rida (f/Robin Thicke),"I Don't Like It, I Love It",118,G,2015
620,David Guetta (f/Nicki Minaj),Hey Mama (Remix),121,G,2015
621,Pitbull (f/Chris Brown),Fun,123,G,2015
622,Flo Rida (f/Robin Thicke),"I Don't Like It, I Love It",124,G,2015
623,Sia (f/The Weeknd),Elastic Heart,130,G,2015
624,Lorde,Royals,98,G,2013
625,Maroon 5,This Summer's Gonna Hurt,128,G,2015
626,Echosmith,Bright,118,G,2015
627,Pitbull (f/Chris Brown),Fun,128,G,2015
628,Rachel Platten,Fight Song,103,G,2015
629,Ed Sheeran,Photograph,120,G,2015
630,Taylor Swift,Blank Space,96,G,2014
631,Wiz Khalifa (f/Charlie Puth),See You Again,110,G,2015
632,MKTO,Classic,102,G,2014
