id,artist,title,bpm,category,yearReleased
1266,Zedd & Alessia Cara,Stay (Remix),124,R,2017
1267,Julia Michaels,Issues (Remix),125,R,2017
1268,The Chainsmokers,Paris (Remix),118,R,2017
1269,Axwell & Ingrosso (f/Kid Ink),I Love You (Remix),126,R,2017
1270,Calvin Harris (f/Frank Ocean & Migos),Slide (Remix),123,R,2017
1271,Iggy Azalea,Mo Bounce,106,R,2017
1272,Jason Derulo (f/Nicki Minaj & Ty Dolla $ign),Swalla (Remix),120,R,2017
1273,Katy Perry,Chained To The Rhythm (Remix),126,R,2017
1274,Katy Perry,Chained To The Rhythm (Remix),103,R,2017
1275,Kygo x Selena Gomez,It Ain't Me (Remix),125,R,2017
1276,The Chainsmokers & Coldplay,Something Just Like This (Remix),128,R,2017
1277,The Weeknd,Party Monster (Remix),128,R,2017
1278,The Weeknd,Rockin',113,R,2017
1279,Jax Jones (f/Raye),You Don't Know Me,124,R,2017
1280,MGK x Hailee Steinfeld,At My Best,85,R,2017
1281,G-Eazy (f/Kehlani),Good Life,84,R,2017
1282,Future (f/Rihanna),Selfish (Remix),124,R,2017
1283,Maroon 5 (f/Future),Cold (Remix),124,R,2017
1284,Ed Sheeran,Castle On The Hill (Remix),125,R,2017
1285,Ed Sheeran,Castle On The Hill (Remix),129,R,2017
1286,Cheat Codes (f/Demi Lovato),No Promises,113,R,2017
1287,James Arthur,Say You Won't Let Go (Remix),122,R,2017
1288,DNCE (f/Nicki Minaj),Kissing Strangers,120,R,2017
1289,Lady Gaga,The Cure,100,R,2017
1291,Shawn Mendes,There's Nothin' Holding Me Down,122,R,2017
1292,Kyle (f/Lil Yachty),iSpy,75,R,2017
1293,Charlie Puth,Attention,100,R,2017
1294,Charlie Puth,Attention (Remix),115,R,2017
1296,Katy Perry (f/Migos),Bon Apetit,106,R,2017
1297,Charlie Puth,Attention (Remix),104,R,2017
1298,Hailee Steinfeld,Most Girls,103,R,2017
1299,Luis Fonsi & Daddy Yankee (f/Justin Bieber),Despacito (Remix),100,R,2017
1300,DJ Khaled (f/Justin Bieber & Others),I'm The One,81,R,2017
1301,DJ Khaled (f/Justin Bieber & Others),I'm The One (Remix),104,R,2017
1302,Luis Fonsi & Daddy Yankee (f/Justin Bieber),Despacito,89,R,2017
1303,Lady Gaga,The Cure (Remix),125,R,2017
1304,Katy Perry (f/Nicki Minaj),Swish Swish,120,R,2017
1305,Kygo x Ellie Goulding,First Time,90,R,2017
1306,Kygo x Ellie Goulding,First Time (Remix),100,R,2017
1307,Kygo x Ellie Goulding,First Time (Remix),125,R,2017
1308,Selena Gomez,Bad Liar,121,R,2017
1310,Halsey,Now Or Never (Remix),110,R,2017
1312,Miley Cyrus,Malibu (Remix),125,R,2017
1313,Halsey,Now Or Never (Remix),105,R,2017
1314,Camila Cabello,Crying In The Club,86,R,2017
1315,Camila Cabello,Crying In The Club (Remix),92,R,2017
1316,Miley Cyrus,Malibu,140,R,2017
1317,Post Malone (f/Quavo),Congratulations,123,R,2017
1318,Childish Gambino,Redbone (Remix),123,R,2017
1319,Iggy Azalea (f/Anitta),Switch,110,R,2017
1320,Charlie Puth,Attention (Remix),124,R,2017
1321,Niall Horan,Slow Hands,86,R,2017
1323,Lady Gaga,The Cure (Remix),120,R,2017
1324,Clean Bandit (f/Zara Larsson),Symphony (Remix),124,R,2017
1325,Fifth Harmony (f/Gucci Mane),Down,98,R,2017
1326,French Montana (f/Swae Lee),Unforgettable,102,R,2017
1327,French Montana (f/Swae Lee),Unforgettable,98,R,2017
1328,Bebe Rexha (f/Lil Wayne),The Way I Are,93,R,2017
1329,David Guetta (f/Justin Bieber),2U,73,R,2017
1330,Childish Gambino,Redbone (Remix),93,R,2017
1331,DJ Khaled (f/Rihanna & Bryson Tiller),Wild Thoughts,98,R,2017
1332,"Calvin Harris (f/Katy Perry, Pharrell & Big Sean)",Feels,101,R,2017
1333,Luis Fonsi & Daddy Yankee (f/Justin Bieber),Despacito (Remix),122,R,2017
1334,Luis Fonsi & Daddy Yankee (f/Justin Bieber),Despacito (Remix),126,R,2017
1335,Shawn Mendes,There's Nothin' Holding Me Back (Remix),126,R,2017
1336,Charlie Puth,Attention (Remix),120,R,2017
1337,Charlie Puth,Attention (Remix),126,R,2017
1338,Camila Cabello,Crying In The Club (Remix),126,R,2017
1339,Bruno Mars,Versace On The Floor,87,R,2017
1340,David Guetta (f/Nicki Minaj),2U (Remix),126,R,2017
1341,DJ Khaled (f/Rihanna & Bryson Tiller),Wild Thoughts (Remix),110,R,2017
1342,DJ Khaled (f/Rihanna & Bryson Tiller),Wild Thoughts (Remix),125,R,2017
1343,DJ Khaled (f/Rihanna & Bryson Tiller),Wild Thoughts (Remix),105,R,2017
1344,Miley Cyrus,Malibu (Remix),128,R,2017
1345,"Major Lazer (f/Travis Scott, Camila Cabello & Quavo)",Know No Better,119,R,2017
1346,Cheat Codes (f/Demi Lovato),No Promises (Remix),126,R,2017
1347,Miley Cyrus,Malibu,70,R,2017
1349,Zedd & Liam Payne,Get Low,108,R,2017
1350,Machine Gun Kelly & James Arthur,Go For Broke,90,R,2017
1351,The Chainsmokers,Honest,100,R,2017
1353,Liam Payne (f/Quavo),Strip That Down (Remix),110,R,2017
1354,Kesha,Praying (Remix),130,R,2017
1355,David Guetta (f/Justin Bieber),2U (Remix),128,R,2017
1356,Selena Gomez,Bad Liar (Remix),126,R,2017
1357,Niall Horan,Slow Hands (Remix),114,R,2017
1358,Niall Horan,Slow Hands (Remix),110,R,2017
1359,Jonas Blue (f/William Singe),Mama,104,R,2017
1360,Jonas Blue (f/William Singe),Mama (Remix),122,R,2017
1361,"Portugal, The Man",Feel It Still (Remix),125,R,2017
1362,Selena Gomez (f/Gucci Mane),Fetish,123,R,2017
1363,Rita Ora,Your Song,118,R,2017
1364,Rita Ora,Your Song (Remix),122,R,2017
1365,Bruno Mars vs David Guetta,Versace On The Floor (Remix),100,R,2017
1366,Halsey,Now Or Never (Remix),113,R,2017
1367,Fifth Harmony (f/Gucci Mane),Down (Remix),122,R,2017
1370,French Montana (f/Swae Lee),Unforgettable,124,R,2017
1371,Rihanna,Pon De Replay,105,G,2004
1373,Selena Gomez (f/Gucci Mane),Fetish (Remix),124,R,2017
1374,Selena Gomez (f/Gucci Mane),Fetish (Remix),128,R,2017
1375,Khalid,Location (Remix),105,R,2017
1376,Khalid,Location (Remix),96,R,2017
1377,Max (f/Gnash),Lights Down Low (Remix),97,R,2017
1378,J Balvin & Willy William,Mi Gente,105,R,2017
1379,Dej Loaf,No Fear,100,R,2017
1380,Dua Lipa,New Rules,116,R,2017
1381,DJ Khaled (f/Rihanna & Bryson Tiller),Wild Thoughts (Remix),116,R,2017
1382,Pink,What About Us?,114,R,2017
1383,All Time Low,Good Times (Remix),110,R,2017
1384,All Time Low,Good Times,130,R,2017
1385,Kesha,Praying (Remix),126,R,2017
1386,Louis Tomlinson (f/Bebe Rexha),Back To You (Remix),130,R,2017
1387,Liam Payne (f/Quavo),Strip That Down (Remix),124,R,2017
1388,Justin Bieber & Bloodpop,Friends,105,R,2017
1389,The Chainsmokers,Honest (Remix),120,R,2017
1390,Calvin Harris (f/Katy Perry & Pharrell),Feels (Remix),120,R,2017
1391,French Montana (f/Swae Lee),Unforgettable (Remix),123,R,2017
1392,Jax Jones (f/Demi Lovato),Instruction,121,R,2017
1393,Skrillex (f/Poo Bear),Would You Ever?,126,R,2017
1395,Demi Lovato,Sorry Not Sorry,72,R,2017
1396,Post Malone,Better Now,72,C,2018
1397,Post Malone,Better Now,126,C,2018
1398,Maroon 5 (f/Cardi B.),Girls Like You,125,C,2018
1399,Khalid x Normani,Love Lies,72,R,2018
1400,Khalid x Normani,Love Lies (Remix),125,C,2018
1401,Cardi B,I Like It (Remix),128,R,2018
1402,Cardi B,I Like It (Remix),130,C,2018
